original,Date,Open,High,Low,Close,Adj Close,Volume
20190128,2019-01-28,32.05,32.35,31.8,31.9,30.8485,545190
20190129,2019-01-29,31.9,31.9,31.55,31.7,30.6551,635890
20190130,2019-01-30,31.9,32.25,31.6,31.7,30.6551,429410
20190131,2019-01-31,32.2,32.2,31.5,31.5,30.4617,678130
20190201,2019-02-01,31.45,31.85,31.4,31.6,30.5584,537050
20190211,2019-02-11,31.85,32.25,31.8,31.95,30.8969,631710
20190212,2019-02-12,32.05,32.7,32.05,32.45,31.3804,1395780
20190213,2019-02-13,32.55,32.6,32.25,32.5,31.4287,1557810
20190214,2019-02-14,32.5,32.55,32.35,32.4,31.332,1018550
20190215,2019-02-15,32.35,33.8,32.1,33.15,32.0573,1622530
20190218,2019-02-18,33.5,33.7,33.2,33.5,32.3958,955540
20190219,2019-02-19,33.5,33.75,32.9,32.9,31.8155,1143130
20190220,2019-02-20,32.8,34.9,32.65,34,32.8793,2361110
20190221,2019-02-21,34.25,34.65,34,34.25,33.121,2157870
20190222,2019-02-22,34.2,34.7,34,34,32.8793,1459730
20190225,2019-02-25,34.5,34.5,33.7,34,32.8793,1687500
20190226,2019-02-26,33.7,34,33.5,33.6,32.4925,1409740
20190227,2019-02-27,33.6,33.95,33.5,33.6,32.4925,749060
20190228,2019-02-28,33.6,33.75,32.5,32.5,31.4287,1793480
20190301,2019-03-01,32.6,33.1,32.6,32.85,31.7672,1153130
20190304,2019-03-04,33.1,33.75,33,33.6,32.4925,918340
20190305,2019-03-05,33.2,35.3,33.2,34.6,33.4595,4215640
20190306,2019-03-06,34.6,34.9,34.4,34.75,33.6046,1601660
20190307,2019-03-07,35,35.25,34.7,34.9,33.7496,1702650
20190308,2019-03-08,34.45,34.7,33.9,34,32.8793,1808960
20190311,2019-03-11,34.1,34.1,33.45,33.65,32.5408,1137250
20190312,2019-03-12,34.1,35.5,33.8,35.5,34.3298,1690500
20190313,2019-03-13,35.3,35.95,35.2,35.6,34.4266,2860920
20190314,2019-03-14,35.6,36.7,35.2,36.2,35.0068,2651040
20190315,2019-03-15,36.2,37.5,35.9,37.2,35.9738,3180240
20190318,2019-03-18,37.2,37.6,36.9,37.3,36.0705,2925810
20190319,2019-03-19,37.15,37.3,36.5,36.6,35.3936,2819110
20190320,2019-03-20,36.15,36.5,35.5,36.1,34.9101,2700620
20190321,2019-03-21,36.25,36.65,34.8,34.8,33.6529,2239650
20190322,2019-03-22,35.4,35.7,34.8,35.1,33.943,1877120
20190325,2019-03-25,34.1,35,33.5,34.5,33.3628,2092900
20190326,2019-03-26,34.9,35.1,34.2,34.3,33.1694,1042090
20190327,2019-03-27,34.85,35.1,34.3,34.9,33.7496,1236550
20190328,2019-03-28,34.45,35.85,34.45,35.6,34.4266,2196570
20190329,2019-03-29,35.6,36,35.6,35.8,34.62,1654790
20190401,2019-04-01,35.8,36.3,35.3,35.5,34.3298,909820
20190402,2019-04-02,36,36,34.8,34.8,33.6529,1453530
20190403,2019-04-03,34.8,36.1,34.45,35.7,34.5233,1895710
20190404,2019-04-04,36,36,35.15,35.3,34.1364,1058540
20190405,2019-04-05,35.3,35.7,34.8,35.05,33.8947,737650
20190408,2019-04-08,34.8,35.55,34.8,35.5,34.3298,1042660
20190409,2019-04-09,35.5,36.2,35.5,35.75,34.5716,2081540
20190410,2019-04-10,35.75,35.8,35.2,35.2,34.0397,522520
20190411,2019-04-11,35.3,35.5,34.95,35.15,33.9914,643960
20190412,2019-04-12,35.1,35.2,34.7,34.75,33.6046,894410
20190416,2019-04-16,34.6,35.6,34.2,35.5,34.3298,1404520
20190417,2019-04-17,35.5,35.5,34.8,34.8,33.6529,852450
20190418,2019-04-18,34.8,35.4,34.65,34.8,33.6529,1016060
20190419,2019-04-19,34.8,35.2,34.7,34.85,33.7013,293870
20190422,2019-04-22,34.85,34.85,33.95,34.2,33.0727,687460
20190423,2019-04-23,34.6,34.6,33.95,34.2,33.0727,1005740
20190424,2019-04-24,34.5,34.8,34.3,34.6,33.4595,538100
20190425,2019-04-25,34.6,35,34.5,34.5,33.3628,464620
20190426,2019-04-26,34.5,34.9,34.5,34.8,33.6529,484200
20190502,2019-05-02,35,35,34.5,34.5,33.3628,483460
20190503,2019-05-03,34.5,34.8,34.2,34.2,33.0727,555330
